Class 0
1272-128104-0000 2.15 2.27
1272-128104-0002 3.07 3.22
1272-128104-0009 13.98 14.08
1272-135031-0000 1.91 2.03
1272-135031-0017 4.96 5.10
1272-135031-0020 3.16 3.33
1272-141231-0005 2.31 2.42
1272-141231-0005 5.09 5.26
1272-141231-0018 1.52 1.63
1272-141231-0028 2.97 3.09
1272-141231-0029 2.11 2.23
1272-141231-0031 0.87 1.01
1462-170138-0000 1.34 1.47
1462-170138-0000 4.25 4.37
1462-170138-0000 11.87 12.02
1462-170138-0002 3.42 3.51
1462-170138-0005 10.56 10.67
1462-170138-0006 7.47 7.56
1462-170138-0008 0.17 0.32
1462-170138-0008 2.55 2.67
1462-170138-0011 9.42 9.53
1462-170138-0021 5.16 5.30
1462-170138-0024 5.94 6.04
1462-170142-0000 1.51 1.62
1462-170142-0025 4.71 4.86
1462-170142-0027 0.87 0.99
1462-170142-0039 2.32 2.55
1462-170145-0000 4.79 4.91
1462-170145-0007 2.62 2.72
1462-170145-0007 3.36 3.48
1673-143396-0000 2.06 2.16
1673-143396-0001 8.27 8.37
1673-143396-0002 4.88 5.01
1673-143396-0002 6.84 6.96
1673-143396-0003 8.16 8.26
1673-143396-0004 2.30 2.40
1673-143396-0004 4.46 4.56
1673-143396-0005 0.81 0.92
1673-143396-0005 9.40 9.51
1673-143396-0005 10.88 10.97
1673-143396-0006 5.79 5.91
1673-143396-0006 14.09 14.24
1673-143396-0007 1.68 1.79
1673-143396-0007 3.72 3.85
1673-143396-0008 6.28 6.39
1673-143396-0008 9.55 9.65
1673-143396-0008 16.54 16.66
1673-143396-0011 14.95 15.05
1673-143396-0012 1.61 1.70
1673-143396-0014 2.14 2.23
1673-143396-0014 12.88 12.98
1673-143396-0016 1.17 1.26
1673-143396-0017 6.73 6.81
1673-143396-0018 4.46 4.56
1673-143396-0019 8.31 8.41
1673-143396-0019 11.92 12.04
1673-143396-0020 1.40 1.52
1673-143396-0020 8.29 8.42
1673-143397-0000 1.70 1.82
1673-143397-0001 5.17 5.24
1673-143397-0002 3.13 3.25
1673-143397-0002 10.73 10.81
1673-143397-0003 1.07 1.20
1673-143397-0003 3.16 3.25
1673-143397-0003 8.43 8.52
