Class 0
1272-128104-0004 7.20 7.24
1272-128104-0005 6.34 6.62
1272-128104-0007 0.99 1.16
1272-128104-0008 1.92 2.04
1272-128104-0010 4.26 4.35
1272-128104-0011 12.37 12.72
1272-128104-0014 1.34 1.61
1272-135031-0001 5.58 5.68
1272-135031-0002 10.15 10.41
1272-135031-0005 2.57 2.96
1272-135031-0006 1.86 2.01
1272-135031-0010 3.91 4.07
1272-135031-0014 1.23 1.74
1272-135031-0016 0.51 0.90
1272-135031-0023 2.27 2.30
1272-135031-0023 3.07 3.27
1272-135031-0023 3.27 3.51
1272-135031-0023 5.76 6.14
1272-135031-0023 6.27 6.84
1272-135031-0024 1.41 1.70
1272-135031-0024 5.72 5.86
1272-135031-0024 6.83 7.25
1272-141231-0003 3.33 3.72
1272-141231-0005 2.31 2.42
1272-141231-0010 4.17 4.26
1272-141231-0010 9.28 9.33
1272-141231-0011 0.38 0.60
1272-141231-0011 0.60 0.91
1272-141231-0014 0.61 0.82
1272-141231-0014 1.21 1.38
1272-141231-0014 5.34 5.44
1272-141231-0016 0.49 0.77
1272-141231-0017 0.73 1.22
1272-141231-0018 2.87 3.47
1272-141231-0019 0.51 0.67
1272-141231-0019 1.38 1.41
1272-141231-0021 4.22 4.65
1272-141231-0022 3.29 3.41
1272-141231-0023 0.51 0.65
1272-141231-0024 0.49 0.75
1272-141231-0031 5.72 6.09
1462-170138-0000 4.97 5.32
1462-170138-0000 7.11 7.58
1462-170138-0000 8.34 8.45
1462-170138-0000 11.09 11.21
1462-170138-0001 3.71 3.98
1462-170138-0004 1.50 1.65
1462-170138-0004 1.65 1.85
1462-170138-0006 0.71 0.80
1462-170138-0006 2.05 2.20
1462-170138-0009 1.60 1.96
1462-170138-0011 7.28 7.41
1462-170138-0012 2.24 2.52
1462-170138-0013 0.48 0.63
1462-170138-0015 0.30 0.51
1462-170138-0015 0.70 0.83
1462-170138-0015 2.46 2.91
1462-170138-0017 2.79 3.01
1462-170138-0019 3.05 3.56
1462-170138-0021 0.64 1.06
1462-170138-0021 4.66 5.16
1462-170138-0021 5.77 5.90
1462-170138-0022 5.25 5.35
1462-170138-0023 0.84 1.19
1462-170138-0023 8.49 8.99
1462-170138-0024 7.49 7.92
1462-170138-0024 8.68 8.80
1462-170138-0027 3.98 4.15
1462-170142-0001 1.73 1.88
1462-170142-0006 3.35 3.74
1462-170142-0006 5.40 5.89
1462-170142-0010 3.05 3.27
1462-170142-0018 1.82 2.03
1462-170142-0021 2.81 2.98
1462-170142-0021 4.23 4.41
1462-170142-0025 0.94 1.27
1462-170142-0027 2.43 2.71
1462-170142-0028 2.67 3.00
1462-170142-0040 3.12 3.31
1462-170145-0007 4.55 4.84
1462-170145-0007 5.41 5.53
1462-170145-0011 0.91 1.25
1462-170145-0011 1.52 1.66
1462-170145-0013 0.79 1.25
1462-170145-0013 2.11 2.45
1462-170145-0015 0.33 0.54
1462-170145-0020 1.98 2.15
1462-170145-0022 3.38 3.41
1673-143396-0000 0.98 1.49
1673-143396-0000 8.38 8.55
1673-143396-0000 10.67 10.95
1673-143396-0001 11.39 11.78
1673-143396-0002 0.65 0.75
1673-143396-0002 3.40 4.01
1673-143396-0002 4.42 4.88
1673-143396-0003 2.20 2.42
1673-143396-0003 6.77 7.08
1673-143396-0003 7.08 7.15
1673-143396-0003 7.15 7.74
1673-143396-0005 3.12 3.69
1673-143396-0006 0.33 0.70
1673-143396-0006 0.93 1.10
1673-143396-0007 2.58 2.73
1673-143396-0008 2.92 3.00
1673-143396-0008 3.43 3.56
1673-143396-0008 4.80 5.05
1673-143396-0008 10.40 11.18
1673-143396-0009 4.41 4.57
1673-143396-0009 14.34 14.42
1673-143396-0010 6.13 6.44
1673-143396-0011 0.51 0.59
1673-143396-0011 3.31 3.58
1673-143396-0011 6.58 6.70
1673-143396-0011 11.01 11.30
1673-143396-0012 2.25 2.39
1673-143396-0012 5.93 6.07
1673-143396-0012 7.55 7.65
1673-143396-0012 9.45 9.54
1673-143396-0012 9.90 10.44
1673-143396-0013 0.67 0.73
1673-143396-0013 1.76 1.93
1673-143396-0013 3.32 3.87
1673-143396-0013 7.87 8.08
1673-143396-0013 11.35 11.43
1673-143396-0013 12.96 13.29
1673-143396-0013 15.21 15.52
1673-143396-0014 4.90 5.08
1673-143396-0014 7.20 7.23
1673-143396-0014 11.56 11.66
1673-143396-0015 2.70 3.24
1673-143396-0015 4.97 5.31
1673-143396-0015 5.45 6.06
1673-143396-0016 0.51 0.85
1673-143396-0016 3.42 3.97
1673-143396-0016 4.43 4.89
1673-143396-0016 10.24 10.63
1673-143396-0016 11.30 11.67
1673-143396-0017 6.81 7.27
1673-143396-0018 8.23 8.47
1673-143396-0018 11.36 11.46
1673-143396-0019 0.84 0.92
1673-143396-0019 11.11 11.21
1673-143396-0019 12.04 12.11
1673-143396-0020 5.39 5.65
1673-143396-0020 10.13 10.65
1673-143397-0000 8.23 8.90
1673-143397-0001 0.78 1.03
1673-143397-0001 1.03 1.35
1673-143397-0001 5.71 5.95
1673-143397-0001 6.23 6.67
1673-143397-0002 8.70 9.35
1673-143397-0002 11.50 12.04
1673-143397-0002 12.58 13.03
1673-143397-0003 2.45 2.54
1673-143397-0003 2.62 3.16
1673-143397-0003 6.08 6.25
1673-143397-0004 2.94 3.14
1673-143397-0004 3.91 4.02
1673-143397-0004 7.01 7.14
1673-143397-0004 7.25 7.65
1673-143397-0004 9.10 9.31
1673-143397-0004 10.51 10.61
1673-143397-0005 3.07 3.16
1673-143397-0005 3.61 3.76
1673-143397-0005 3.93 4.22
1673-143397-0005 4.22 4.71
1673-143397-0005 9.61 9.89
1673-143397-0006 2.59 2.83
1673-143397-0006 3.43 3.95
1673-143397-0006 7.39 7.47
1673-143397-0007 3.03 3.19
1673-143397-0008 0.67 0.91
1673-143397-0010 10.91 10.98
1673-143397-0010 11.51 12.00
1673-143397-0011 2.48 2.65
1673-143397-0011 7.07 7.84
1673-143397-0012 4.68 4.83
1673-143397-0013 1.90 1.98
1673-143397-0014 0.66 1.00
1673-143397-0014 5.31 5.58
1673-143397-0015 0.62 0.72
1673-143397-0015 2.30 2.78
1673-143397-0015 5.45 5.83
1673-143397-0016 5.74 5.81
1673-143397-0016 6.38 6.80
1673-143397-0016 9.94 10.51
1673-143397-0017 1.22 1.58
1673-143397-0018 1.73 2.16
1673-143397-0018 3.23 3.40
1673-143397-0019 3.42 3.68
1673-143397-0019 8.28 8.42
1673-143397-0019 11.11 11.66
1673-143397-0019 14.77 14.86
1673-143397-0019 15.32 15.70
1673-143397-0020 1.39 1.47
1673-143397-0020 2.11 2.27
1673-143397-0020 11.47 11.95
1673-143397-0020 12.98 13.10
1673-143397-0020 15.32 15.38
174-168635-0002 11.24 11.52
174-168635-0003 0.51 0.68
174-168635-0004 5.88 6.03
174-168635-0004 7.26 7.72
174-168635-0005 0.50 1.11
174-168635-0010 9.56 10.06
174-168635-0017 1.14 1.45
174-168635-0017 4.11 4.57
174-168635-0018 12.74 12.82
174-50561-0000 1.48 1.57
174-50561-0000 1.57 1.77
174-50561-0000 1.77 1.89
174-50561-0001 8.78 8.94
174-50561-0005 2.51 2.99
174-50561-0007 4.85 4.96
174-50561-0007 6.62 6.67
174-50561-0008 6.08 6.41
174-50561-0008 11.43 11.96
174-50561-0010 5.81 5.94
174-50561-0010 7.33 7.79
174-50561-0011 2.35 2.38
174-50561-0011 5.19 5.60
174-50561-0011 5.80 6.03
174-50561-0013 5.71 6.27
174-50561-0013 7.32 7.66
174-50561-0015 7.58 7.92
174-50561-0015 11.57 12.14
174-50561-0016 4.09 4.31
174-50561-0016 10.16 10.37
174-50561-0019 1.24 1.42
174-84280-0001 10.88 10.97
174-84280-0002 7.18 7.29
174-84280-0005 7.74 8.17
174-84280-0015 11.45 11.55
1919-142785-0000 1.34 1.50
1919-142785-0000 1.84 2.23
1919-142785-0001 1.52 1.74
1919-142785-0001 3.61 3.82
1919-142785-0002 2.78 2.82
1919-142785-0002 3.12 3.73
1919-142785-0002 9.14 9.17
1919-142785-0005 8.55 8.95
1919-142785-0005 10.54 11.03
1919-142785-0007 12.84 12.91
1919-142785-0007 16.42 16.59
1919-142785-0008 3.07 3.36
1919-142785-0008 8.06 8.17
1919-142785-0008 12.37 12.47
1919-142785-0010 3.42 3.51
1919-142785-0010 11.01 11.51
1919-142785-0011 8.17 8.64
1919-142785-0014 4.20 4.52
1919-142785-0014 6.41 6.52
1919-142785-0015 3.62 3.93
1919-142785-0020 2.91 3.32
1919-142785-0020 5.23 5.88
1919-142785-0020 8.90 9.34
1919-142785-0025 3.11 3.42
1919-142785-0025 4.98 5.55
1919-142785-0027 4.28 4.70
1919-142785-0030 2.47 3.05
1919-142785-0033 1.38 1.53
1919-142785-0033 5.22 5.31
1919-142785-0034 2.04 2.24
1919-142785-0036 1.67 1.76
1919-142785-0038 2.12 2.40
1919-142785-0038 3.72 3.87
1919-142785-0038 4.48 4.80
1919-142785-0038 5.51 5.91
1919-142785-0039 1.78 2.37
1919-142785-0041 0.93 1.69
1919-142785-0043 0.69 1.06
1919-142785-0043 3.72 3.87
1919-142785-0044 2.34 2.49
1919-142785-0044 5.25 5.77
1919-142785-0045 1.09 1.47
1919-142785-0047 5.18 5.40
1919-142785-0049 11.64 12.14
1919-142785-0050 0.43 0.76
1919-142785-0050 1.54 2.11
