Class 0
1272-128104-0000 2.27 2.35
1272-128104-0002 3.22 3.33
1272-128104-0010 0.37 0.45
1272-135031-0001 5.58 5.68
1272-135031-0001 6.52 6.61
1272-135031-0002 7.94 8.05
1272-135031-0003 3.83 3.92
1272-135031-0007 2.92 3.01
1272-135031-0013 2.26 2.38
1272-135031-0015 1.84 1.95
1272-135031-0024 5.72 5.86
1272-141231-0017 0.64 0.73
1272-141231-0020 3.11 3.21
1272-141231-0021 1.54 1.64
1272-141231-0022 3.29 3.41
1272-141231-0028 2.18 2.27
1272-141231-0032 3.72 3.85
1462-170138-0005 4.28 4.39
1462-170138-0005 4.80 4.89
1462-170138-0006 1.14 1.24
1462-170138-0006 2.20 2.30
1462-170138-0006 7.05 7.16
1462-170138-0007 4.26 4.38
1462-170138-0010 2.61 2.73
1462-170138-0010 4.42 4.50
1462-170138-0011 2.13 2.23
1462-170138-0011 7.89 7.98
1462-170138-0022 1.88 1.99
1462-170138-0023 0.44 0.52
1462-170138-0023 2.24 2.34
1462-170138-0024 6.04 6.14
1462-170138-0024 8.68 8.80
1462-170142-0000 1.62 1.71
1462-170142-0004 2.98 3.07
1462-170142-0005 4.36 4.48
1462-170142-0031 3.06 3.15
1462-170142-0041 1.21 1.34
1462-170145-0000 0.64 0.75
1462-170145-0002 1.54 1.64
1462-170145-0004 1.42 1.52
1673-143396-0000 2.16 2.24
1673-143396-0000 4.45 4.53
1673-143396-0000 8.94 9.01
1673-143396-0000 12.62 12.69
1673-143396-0003 10.29 10.36
1673-143396-0004 3.70 3.81
1673-143396-0004 11.15 11.22
1673-143396-0006 7.94 8.01
1673-143396-0006 10.53 10.61
1673-143396-0006 13.56 13.64
1673-143396-0007 0.56 0.62
1673-143396-0007 5.13 5.20
1673-143396-0009 1.70 1.81
1673-143396-0009 2.34 2.45
1673-143396-0009 8.38 8.48
1673-143396-0010 0.53 0.67
1673-143396-0010 4.60 4.69
1673-143396-0011 6.01 6.11
1673-143396-0012 9.45 9.54
1673-143396-0012 12.46 12.54
1673-143396-0013 8.75 8.85
1673-143396-0013 11.35 11.43
1673-143396-0014 11.56 11.66
1673-143396-0014 12.98 13.04
1673-143396-0015 2.58 2.70
1673-143396-0016 8.31 8.41
1673-143396-0016 11.67 11.75
1673-143396-0016 13.34 13.42
1673-143396-0018 1.96 2.03
1673-143396-0018 3.20 3.28
1673-143396-0018 10.46 10.54
1673-143396-0019 11.11 11.21
1673-143396-0019 12.04 12.11
1673-143396-0020 7.85 7.95
1673-143396-0020 10.65 10.74
1673-143396-0020 13.87 13.98
1673-143397-0000 8.16 8.23
1673-143397-0001 7.86 7.94
1673-143397-0002 3.25 3.31
1673-143397-0002 7.64 7.71
1673-143397-0003 3.25 3.32
1673-143397-0005 2.56 2.65
1673-143397-0006 3.34 3.43
1673-143397-0006 6.94 7.05
1673-143397-0007 3.88 3.95
1673-143397-0009 0.41 0.50
1673-143397-0010 3.63 3.70
1673-143397-0010 5.37 5.46
1673-143397-0010 5.86 5.92
1673-143397-0010 8.76 8.84
1673-143397-0010 10.13 10.23
1673-143397-0011 8.64 8.74
1673-143397-0013 0.65 0.75
1673-143397-0013 1.90 1.98
1673-143397-0013 5.50 5.57
1673-143397-0014 4.43 4.50
1673-143397-0016 4.79 4.91
1673-143397-0016 5.74 5.81
1673-143397-0016 12.85 12.94
1673-143397-0016 14.34 14.44
1673-143397-0017 1.66 1.74
1673-143397-0019 2.91 2.97
1673-143397-0019 3.87 3.94
1673-143397-0019 11.66 11.73
1673-143397-0019 14.07 14.17
1673-143397-0019 14.77 14.86
1673-143397-0020 1.39 1.47
1673-143397-0020 9.95 10.02
1673-143397-0020 10.36 10.45
174-168635-0018 12.74 12.82
174-50561-0000 1.48 1.57
174-50561-0001 5.52 5.63
174-50561-0001 6.12 6.27
174-50561-0001 6.70 6.80
174-50561-0001 7.70 7.79
174-50561-0001 12.79 12.88
174-50561-0007 1.49 1.58
174-50561-0010 1.54 1.63
174-50561-0011 6.18 6.27
174-50561-0015 9.90 9.99
174-50561-0016 2.44 2.52
174-50561-0016 8.32 8.43
174-50561-0016 9.40 9.53
174-50561-0016 10.81 10.90
174-50561-0017 1.70 1.79
174-84280-0001 8.83 8.90
174-84280-0001 10.88 10.97
174-84280-0004 9.96 10.06
174-84280-0005 1.50 1.63
174-84280-0012 5.62 5.74
174-84280-0015 11.45 11.55
1919-142785-0001 4.53 4.61
1919-142785-0003 2.38 2.46
1919-142785-0004 0.77 0.89
1919-142785-0004 3.92 4.04
1919-142785-0005 6.44 6.57
1919-142785-0005 9.14 9.25
1919-142785-0007 16.76 16.87
1919-142785-0008 4.41 4.52
1919-142785-0008 6.03 6.13
1919-142785-0008 8.06 8.17
