Class 0
2428-83699-0042 0.00 0.12
2428-83699-0042 1.04 1.17
2428-83699-0042 1.26 1.79
2428-83699-0042 1.79 2.10
2428-83699-0042 4.81 5.01
2428-83699-0042 5.44 5.69
2428-83699-0027 0.71 0.85
2428-83699-0027 1.35 1.57
2428-83699-0027 1.65 2.07
2428-83699-0027 3.74 3.89
2428-83699-0000 0.48 0.60
2428-83699-0000 0.60 0.98
2428-83699-0000 1.13 1.25
2428-83699-0000 1.25 1.57
2428-83699-0000 1.57 1.97
2428-83699-0000 1.97 2.14
2428-83699-0000 2.38 2.77
2428-83699-0000 2.77 3.43
2428-83699-0000 3.43 4.16
2428-83699-0000 4.16 4.29
2428-83699-0000 4.77 4.93
2428-83699-0000 4.93 5.24
2428-83699-0000 5.85 5.95
2428-83699-0000 6.78 7.07
2428-83699-0000 7.29 7.71
2428-83699-0000 8.25 8.35
2428-83699-0000 8.35 8.44
2428-83699-0000 11.09 11.27
2428-83699-0032 0.92 1.15
2428-83699-0032 1.38 1.91
2428-83699-0006 0.00 0.54
2428-83699-0006 0.86 0.93
2428-83699-0006 0.93 1.05
2428-83699-0006 1.05 1.10
2428-83699-0006 1.10 1.66
2428-83699-0006 2.03 2.15
2428-83699-0006 2.25 2.42
2428-83699-0006 4.59 4.69
2428-83699-0006 4.69 4.78
2428-83699-0006 4.99 5.50
2428-83699-0006 5.73 5.84
2428-83699-0006 5.84 5.96
2428-83699-0006 5.96 6.18
2428-83699-0006 6.71 6.83
2428-83699-0008 0.66 0.94
2428-83699-0008 1.94 2.13
2428-83699-0008 2.31 2.70
2428-83699-0008 2.70 3.10
2428-83699-0008 3.18 3.35
2428-83699-0008 4.65 4.80
2428-83699-0008 4.93 5.15
2428-83699-0008 5.31 5.83
2428-83699-0008 6.30 6.43
2428-83699-0008 6.43 7.01
2428-83699-0008 7.01 7.13
2428-83699-0008 7.13 7.25
2428-83699-0008 7.25 7.72
2428-83699-0008 9.62 9.94
